ID Occupation,Occupation,ID Year,Year,Median Earnings by Occupation,Median Earnings by Occupation Moe,Geography,ID Geography,Slug Geography
26,"Sales & Related Occupations",2014,"2014",21028,4428,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
34,"Transportation Occupations",2013,"2013",20617,3577,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
23,"Building & Grounds Cleaning & Maintenance Occupations",2017,"2017",20441,6491,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
35,"Material Moving Occupations",2017,"2017",20372,4585,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
26,"Sales & Related Occupations",2013,"2013",19822,4220,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
23,"Building & Grounds Cleaning & Maintenance Occupations",2014,"2014",19195,5000,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
29,"Farming, Fishing, & Forestry Occupations",2016,"2016",17159,26023,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
23,"Building & Grounds Cleaning & Maintenance Occupations",2015,"2015",16984,5267,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
35,"Material Moving Occupations",2016,"2016",16750,11353,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
17,"Service Occupations",2016,"2016",15464,1878,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
29,"Farming, Fishing, & Forestry Occupations",2015,"2015",15269,12903,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
24,"Personal Care & Service Occupations",2013,"2013",15055,6766,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
17,"Service Occupations",2015,"2015",15002,2321,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
17,"Service Occupations",2013,"2013",14781,2227,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
23,"Building & Grounds Cleaning & Maintenance Occupations",2013,"2013",14538,4862,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
17,"Service Occupations",2017,"2017",14274,1950,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
17,"Service Occupations",2014,"2014",14216,1071,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
29,"Farming, Fishing, & Forestry Occupations",2013,"2013",14202,70454,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
24,"Personal Care & Service Occupations",2016,"2016",12528,2360,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
22,"Food Preparation & Serving Related Occupations",2014,"2014",12274,1126,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
24,"Personal Care & Service Occupations",2015,"2015",11747,1947,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
22,"Food Preparation & Serving Related Occupations",2015,"2015",11693,1215,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
22,"Food Preparation & Serving Related Occupations",2016,"2016",11622,1925,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
24,"Personal Care & Service Occupations",2014,"2014",11391,2534,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
22,"Food Preparation & Serving Related Occupations",2017,"2017",11351,1823,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
35,"Material Moving Occupations",2013,"2013",10903,6316,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
24,"Personal Care & Service Occupations",2017,"2017",9853,2854,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
22,"Food Preparation & Serving Related Occupations",2013,"2013",8877,2400,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
