ID Occupation,Occupation,ID Year,Year,Median Earnings by Occupation,Median Earnings by Occupation Moe,Geography,ID Geography,Slug Geography
27,"Office & Administrative Support Occupations",2017,"2017",25682,4489,"Washington, IN","31000US47780","washington-in-micro-area"
27,"Office & Administrative Support Occupations",2013,"2013",25414,1937,"Washington, IN","31000US47780","washington-in-micro-area"
25,"Sales & Office Occupations",2014,"2014",24065,2448,"Washington, IN","31000US47780","washington-in-micro-area"
25,"Sales & Office Occupations",2013,"2013",24039,2535,"Washington, IN","31000US47780","washington-in-micro-area"
13,"Arts, Design, Entertainment, Sports, & Media Occupations",2013,"2013",24000,35304,"Washington, IN","31000US47780","washington-in-micro-area"
13,"Arts, Design, Entertainment, Sports, & Media Occupations",2016,"2016",23304,10728,"Washington, IN","31000US47780","washington-in-micro-area"
25,"Sales & Office Occupations",2016,"2016",22570,2272,"Washington, IN","31000US47780","washington-in-micro-area"
25,"Sales & Office Occupations",2015,"2015",22348,2089,"Washington, IN","31000US47780","washington-in-micro-area"
18,"Healthcare Support Occupations",2017,"2017",22209,3372,"Washington, IN","31000US47780","washington-in-micro-area"
25,"Sales & Office Occupations",2017,"2017",22201,2468,"Washington, IN","31000US47780","washington-in-micro-area"
26,"Sales & Related Occupations",2013,"2013",22179,4068,"Washington, IN","31000US47780","washington-in-micro-area"
29,"Farming, Fishing, & Forestry Occupations",2014,"2014",21563,14487,"Washington, IN","31000US47780","washington-in-micro-area"
26,"Sales & Related Occupations",2014,"2014",20625,3712,"Washington, IN","31000US47780","washington-in-micro-area"
18,"Healthcare Support Occupations",2013,"2013",20502,1453,"Washington, IN","31000US47780","washington-in-micro-area"
13,"Arts, Design, Entertainment, Sports, & Media Occupations",2017,"2017",20417,28491,"Washington, IN","31000US47780","washington-in-micro-area"
23,"Building & Grounds Cleaning & Maintenance Occupations",2017,"2017",20000,4836,"Washington, IN","31000US47780","washington-in-micro-area"
18,"Healthcare Support Occupations",2015,"2015",19693,3838,"Washington, IN","31000US47780","washington-in-micro-area"
18,"Healthcare Support Occupations",2014,"2014",19244,4301,"Washington, IN","31000US47780","washington-in-micro-area"
18,"Healthcare Support Occupations",2016,"2016",19190,2298,"Washington, IN","31000US47780","washington-in-micro-area"
26,"Sales & Related Occupations",2016,"2016",19036,4822,"Washington, IN","31000US47780","washington-in-micro-area"
26,"Sales & Related Occupations",2015,"2015",18627,5152,"Washington, IN","31000US47780","washington-in-micro-area"
26,"Sales & Related Occupations",2017,"2017",16733,4065,"Washington, IN","31000US47780","washington-in-micro-area"
29,"Farming, Fishing, & Forestry Occupations",2013,"2013",16176,13930,"Washington, IN","31000US47780","washington-in-micro-area"
23,"Building & Grounds Cleaning & Maintenance Occupations",2014,"2014",15000,6231,"Washington, IN","31000US47780","washington-in-micro-area"
23,"Building & Grounds Cleaning & Maintenance Occupations",2015,"2015",14349,3656,"Washington, IN","31000US47780","washington-in-micro-area"
23,"Building & Grounds Cleaning & Maintenance Occupations",2016,"2016",14293,6197,"Washington, IN","31000US47780","washington-in-micro-area"
23,"Building & Grounds Cleaning & Maintenance Occupations",2013,"2013",14150,6079,"Washington, IN","31000US47780","washington-in-micro-area"
24,"Personal Care & Service Occupations",2017,"2017",13688,2803,"Washington, IN","31000US47780","washington-in-micro-area"
17,"Service Occupations",2017,"2017",13641,1696,"Washington, IN","31000US47780","washington-in-micro-area"
17,"Service Occupations",2015,"2015",13244,1604,"Washington, IN","31000US47780","washington-in-micro-area"
17,"Service Occupations",2013,"2013",12892,2960,"Washington, IN","31000US47780","washington-in-micro-area"
17,"Service Occupations",2016,"2016",12075,1453,"Washington, IN","31000US47780","washington-in-micro-area"
17,"Service Occupations",2014,"2014",12014,1659,"Washington, IN","31000US47780","washington-in-micro-area"
24,"Personal Care & Service Occupations",2015,"2015",11890,3107,"Washington, IN","31000US47780","washington-in-micro-area"
24,"Personal Care & Service Occupations",2013,"2013",11522,3396,"Washington, IN","31000US47780","washington-in-micro-area"
24,"Personal Care & Service Occupations",2016,"2016",11289,2697,"Washington, IN","31000US47780","washington-in-micro-area"
22,"Food Preparation & Serving Related Occupations",2017,"2017",10446,2132,"Washington, IN","31000US47780","washington-in-micro-area"
24,"Personal Care & Service Occupations",2014,"2014",10313,2234,"Washington, IN","31000US47780","washington-in-micro-area"
22,"Food Preparation & Serving Related Occupations",2015,"2015",10169,1765,"Washington, IN","31000US47780","washington-in-micro-area"
22,"Food Preparation & Serving Related Occupations",2013,"2013",10068,1364,"Washington, IN","31000US47780","washington-in-micro-area"
22,"Food Preparation & Serving Related Occupations",2016,"2016",9975,1855,"Washington, IN","31000US47780","washington-in-micro-area"
22,"Food Preparation & Serving Related Occupations",2014,"2014",9571,1582,"Washington, IN","31000US47780","washington-in-micro-area"
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2016,"2016",3977,10668,"Washington, IN","31000US47780","washington-in-micro-area"
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2017,"2017",2499,,"Washington, IN","31000US47780","washington-in-micro-area"
